#,"Campaña/Aviso institucional","Nivel educativo"
93,"Día Internacional de Proteccion de Datos Personales 2018",Superior
94,"Foro de la Ley General de Archivos.2018",Doctorado
95,"Foro de la Ley General de Archivos.2018",Maestria
96,"Foro de la Ley General de Archivos.2018","Media Superior"
97,"Foro de la Ley General de Archivos.2018",Primaria
98,"Foro de la Ley General de Archivos.2018",Secundaria
99,"Foro de la Ley General de Archivos.2018",Superior
100,"Foro de la Ley General de Archivos.2018","Sin educación"
101,"I Cumbre Nacional de Gobierno Abierto",Doctorado
102,"I Cumbre Nacional de Gobierno Abierto",Maestria
103,"I Cumbre Nacional de Gobierno Abierto","Media Superior"
104,"I Cumbre Nacional de Gobierno Abierto",Primaria
105,"I Cumbre Nacional de Gobierno Abierto",Secundaria
106,"I Cumbre Nacional de Gobierno Abierto","Sin educación"
107,"I Cumbre Nacional de Gobierno Abierto",Superior
