#,"Campaña/Aviso institucional","Población lugar"
91,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI",Hidalgo
92,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI",Jalisco
93,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI",México
94,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI","Michoacán de Ocampo"
95,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI",Morelos
96,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI",Nayarit
97,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI","Nuevo León"
98,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI",Oaxaca
99,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI",Puebla
100,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI",Querétaro
101,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI","Quintana Roo"
102,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI","San Luis Potosí"
103,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI",Sinaloa
104,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI",Sonora
105,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI",Tabasco
106,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI",Tamaulipas
107,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI",Tlaxcala
108,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI","Veracruz de Ignacio de la Llave"
109,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI",Yucatán
110,"3er. Seminario Internacional sobre Gestión Documental y Transparencia y el servicio telefónico TELINAI",Zacatecas
