#,"Subcategorías del servicio","Unidades del servicio",Estatus
126,"Televisión abierta nacional","Spot de 20 seg.",Activo
127,"Televisión abierta nacional","Spot de 30 seg.",Activo
128,"Televisión internacional","Cápsula 1 min.",Activo
129,"Televisión internacional","Cápsula 5 min.",Activo
130,"Televisión internacional",Mención,Activo
131,"Televisión internacional","Otro formato",Activo
132,"Televisión internacional","Spot de 20 seg.",Activo
133,"Televisión internacional","Spot de 30 seg.",Activo
134,"Televisión restringida","Cápsula 1 min.",Activo
135,"Televisión restringida","Cápsula 5 min.",Activo
136,"Televisión restringida",Mención,Activo
137,"Televisión restringida","Otro formato",Activo
138,"Televisión restringida","Spot de 20 seg.",Activo
139,"Televisión restringida","Spot de 30 seg.",Activo
140,"Estudios (Pre-Campaña, Post-Campaña)","Otro formato",Activo
141,"Estudios (Pre-Campaña, Post-Campaña)","Unidades de producto",Activo
142,"Estudios (Pre-Campaña, Post-Campaña)","Unidades de servicio",Activo
143,"Plan de medios","Plan de medios",Activo
144,"Carteles o Pósters",Pieza,Activo
145,"Folletos, Dípticos o Trípticos",Pieza,Activo
146,"Mantas o Lonas",Pieza,Activo
147,"Otro tipo de materiales impresos",Pieza,Activo
148,Copiado,"Otro formato",Activo
149,Copiado,"Unidades de producto",Activo
150,Copiado,"Unidades de servicio",Activo
151,"Diseño y servicios publicitarios","Otro formato",Activo
152,"Diseño y servicios publicitarios","Prod. spot radio 20 seg",Activo
153,"Diseño y servicios publicitarios","Prod. spot radio 30 seg",Activo
154,"Diseño y servicios publicitarios","Prod. spot tv 20 seg.",Activo
155,"Diseño y servicios publicitarios","Prod. spot tv 30 seg",Activo
156,"Otro tipo de servicio de producción","Unidades de producto",Activo
157,"Otro tipo de servicio de producción","Unidades de servicio",Activo
158,"Otro tipo de servicio de producción","Otro formato",Activo
159,Post-Producción,"Otro formato",Activo
160,Post-Producción,"Prod. spot radio 20 seg",Activo
161,Post-Producción,"Prod. spot radio 30 seg",Activo
162,Post-Producción,"Prod. spot tv 20 seg",Activo
163,Post-Producción,"Prod. spot tv 30 seg",Activo
164,Producción,"Otro formato",Activo
165,Producción,"Prod. spot radio 20 seg",Activo
166,Producción,"Prod. spot radio 30 seg",Activo
167,Producción,"Prod. spot tv 20 seg",Activo
168,Producción,"Prod. spot tv 30 seg",Activo
169,Streaming,Minutos,Activo
